fold,algorithm,macro_f1,accuracy,cohen_kappa,fit_time_sec,pred_time_sec
Rep1_Fold1,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.0020093917846679688,0.0
Rep1_Fold1,LogisticRegression_Baseline,0.5224872990458006,0.7271,0.5521497934055017,2.7282350063323975,0.009541988372802734
Rep1_Fold2,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.008221626281738281,0.0
Rep1_Fold2,LogisticRegression_Baseline,0.5429763585992465,0.7211,0.541363767089688,2.7040786743164062,0.006255626678466797
Rep1_Fold3,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.0,0.0
Rep1_Fold3,LogisticRegression_Baseline,0.5248841648044373,0.7236,0.5458751605887462,3.7303383350372314,0.009315013885498047
Rep1_Fold4,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.0,0.0
Rep1_Fold4,LogisticRegression_Baseline,0.5357711804569527,0.7217,0.544219040042429,3.0398218631744385,0.003377199172973633
Rep1_Fold5,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.0,0.0
Rep1_Fold5,LogisticRegression_Baseline,0.538784345433653,0.7323,0.5600898310697295,3.6610615253448486,0.0050373077392578125
Rep2_Fold1,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.0,0.0
Rep2_Fold1,LogisticRegression_Baseline,0.5426798076892452,0.7296,0.5550633242466316,2.878033399581909,0.008984565734863281
Rep2_Fold2,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.0,0.0
Rep2_Fold2,LogisticRegression_Baseline,0.5233620280974767,0.7211,0.5426442952328974,3.7298359870910645,0.015276670455932617
Rep2_Fold3,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.0023491382598876953,0.0
Rep2_Fold3,LogisticRegression_Baseline,0.5286648008889887,0.7229,0.5451072832707071,3.6206889152526855,0.010432958602905273
Rep2_Fold4,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.001667022705078125,0.0013010501861572266
Rep2_Fold4,LogisticRegression_Baseline,0.5276849693282162,0.725,0.5483897730614269,3.516517400741577,0.009491443634033203
Rep2_Fold5,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.0031201839447021484,0.0
Rep2_Fold5,LogisticRegression_Baseline,0.5423118537880355,0.7221,0.5444064074525471,3.9913337230682373,0.01282358169555664
Rep3_Fold1,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.004560232162475586,0.0
Rep3_Fold1,LogisticRegression_Baseline,0.5442105962039865,0.726,0.5510808915369654,3.4798786640167236,0.010676383972167969
Rep3_Fold2,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.0020132064819335938,0.0
Rep3_Fold2,LogisticRegression_Baseline,0.5086580229506439,0.7209,0.5419708023207688,3.240342140197754,0.0007257461547851562
Rep3_Fold3,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.0,0.0
Rep3_Fold3,LogisticRegression_Baseline,0.5419757513303118,0.7245,0.548294788231825,3.2556374073028564,0.010221481323242188
Rep3_Fold4,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.0020024776458740234,0.0
Rep3_Fold4,LogisticRegression_Baseline,0.5211820914591422,0.7203,0.5408137148715515,3.9250922203063965,0.005289793014526367
Rep3_Fold5,MajorityClass_ZeroRule,0.09365036684208505,0.4876,0.0,0.005061626434326172,0.0
Rep3_Fold5,LogisticRegression_Baseline,0.550093357935552,0.7328,0.5595459432978042,4.192740440368652,0.006300210952758789
