Algorithm,Macro-F1,Accuracy,Cohen's Kappa,Fit Time (s),Pred Latency (ms/1k)
MajorityClass_ZeroRule,0.0937 ± 0.0000,0.4876 ± 0.0000,0.0000 ± 0.0000,0.002 ± 0.002,0.01
LogisticRegression_Baseline,0.5330 ± 0.0116,0.7247 ± 0.0041,0.5481 ± 0.0063,3.446 ± 0.460,0.82
