fold_index,fold_id,repeat,split,algorithm,family,macro_f1,accuracy,cohen_kappa,recall_spruce_fir,recall_lodgepole_pine,recall_ponderosa_pine,recall_cottonwood_willow,recall_aspen,recall_douglas_fir,recall_krummholz,fit_time_sec,pred_time_sec,pred_latency_ms_per_1k
6,Rep2_Fold1,2,1,DecisionTree,Tree/Rule-based,0.73438,0.8169,0.706151,0.822545,0.834085,0.806504,0.595745,0.5,0.665552,0.844193,0.6989,0.013,1.2955
6,Rep2_Fold1,2,1,RandomForest,Ensemble,0.809582,0.8927,0.825569,0.873286,0.937654,0.895935,0.680851,0.432927,0.725753,0.849858,5.7077,0.1182,11.8222
6,Rep2_Fold1,2,1,LightGBM,Ensemble,0.826038,0.8991,0.836255,0.881788,0.936423,0.895935,0.617021,0.512195,0.802676,0.866856,12.5245,0.2826,28.2617
6,Rep2_Fold1,2,1,MLP,Neural/Kernel,0.752466,0.8542,0.762558,0.824191,0.916325,0.796748,0.680851,0.378049,0.605351,0.86119,24.3522,0.0356,3.5569
7,Rep2_Fold2,2,2,MajorityClass_ZeroRule,Trivial Baseline,0.09365,0.4876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0005,0.0545
7,Rep2_Fold2,2,2,LogisticRegression,Linear/Probabilistic,0.523362,0.7211,0.542644,0.701042,0.79717,0.78374,0.489362,0.0,0.244147,0.538244,3.6621,0.0096,0.9587
7,Rep2_Fold2,2,2,DecisionTree,Tree/Rule-based,0.739078,0.8195,0.71063,0.828854,0.837162,0.798374,0.680851,0.493902,0.655518,0.824363,0.56,0.0147,1.4734
7,Rep2_Fold2,2,2,RandomForest,Ensemble,0.826715,0.8894,0.820861,0.877126,0.922477,0.902439,0.765957,0.506098,0.73913,0.858357,5.5988,0.1104,11.045
7,Rep2_Fold2,2,2,LightGBM,Ensemble,0.837697,0.8942,0.828943,0.883708,0.920016,0.912195,0.680851,0.567073,0.789298,0.883853,11.0516,0.2452,24.5161
7,Rep2_Fold2,2,2,MLP,Neural/Kernel,0.778942,0.8541,0.763908,0.834888,0.897252,0.856911,0.765957,0.493902,0.668896,0.787535,27.7896,0.0489,4.8892
8,Rep2_Fold3,2,3,MajorityClass_ZeroRule,Trivial Baseline,0.09365,0.4876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0
8,Rep2_Fold3,2,3,LogisticRegression,Linear/Probabilistic,0.528665,0.7229,0.545107,0.699122,0.801066,0.803571,0.489362,0.0,0.220736,0.538244,3.6928,0.0082,0.816
8,Rep2_Fold3,2,3,DecisionTree,Tree/Rule-based,0.719195,0.8139,0.70076,0.814591,0.844955,0.798701,0.638298,0.539877,0.591973,0.74221,0.6088,0.009,0.9006
8,Rep2_Fold3,2,3,RandomForest,Ensemble,0.81139,0.891,0.822933,0.877126,0.932527,0.904221,0.702128,0.447853,0.658863,0.864023,6.968,0.1512,15.1186
8,Rep2_Fold3,2,3,LightGBM,Ensemble,0.821459,0.8973,0.833442,0.885628,0.933142,0.907468,0.659574,0.521472,0.692308,0.883853,12.8312,0.2801,28.0142
8,Rep2_Fold3,2,3,MLP,Neural/Kernel,0.766285,0.8609,0.774925,0.845858,0.906891,0.829545,0.659574,0.509202,0.551839,0.886686,25.5156,0.0407,4.0715
9,Rep2_Fold4,2,4,MajorityClass_ZeroRule,Trivial Baseline,0.09365,0.4876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0.0
9,Rep2_Fold4,2,4,LogisticRegression,Linear/Probabilistic,0.527685,0.725,0.54839,0.700768,0.802297,0.797078,0.468085,0.006135,0.22408,0.572238,3.974,0.0073,0.7292
9,Rep2_Fold4,2,4,DecisionTree,Tree/Rule-based,0.731804,0.8105,0.696142,0.809929,0.830394,0.818182,0.702128,0.527607,0.645485,0.813031,0.6985,0.0102,1.0172
9,Rep2_Fold4,2,4,RandomForest,Ensemble,0.825152,0.8908,0.822605,0.878771,0.92822,0.900974,0.808511,0.447853,0.692308,0.864023,6.5973,0.1781,17.8104
9,Rep2_Fold4,2,4,LightGBM,Ensemble,0.82929,0.8953,0.83017,0.890839,0.926784,0.88961,0.787234,0.453988,0.732441,0.872521,14.4948,0.2892,28.9213
9,Rep2_Fold4,2,4,MLP,Neural/Kernel,0.758179,0.8572,0.768823,0.84147,0.90525,0.793831,0.638298,0.441718,0.662207,0.852691,26.9359,0.0433,4.3327
